Ship_Mode,Segment,Country,City,State,Postal_Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
Second_Class,Consumer,United States,Los_Angeles,California,90049,West,Office_Supplies,Binders,11.648,2,0.2,4.2224
Second_Class,Consumer,United States,Los_Angeles,California,90049,West,Technology,Accessories,90.57,3,0.0,11.7741
Standard_Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office_Supplies,Binders,9.618,2,0.7,-7.0532
Standard_Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.2,3,0.2,15.525
Standard_Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office_Supplies,Envelopes,3.264,2,0.2,1.1016
Standard_Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office_Supplies,Art,86.304,6,0.2,9.7092
Standard_Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office_Supplies,Binders,6.858,6,0.7,-5.715
Standard_Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office_Supplies,Art,15.76,2,0.2,3.546
Second_Class,Home_Office,United States,Houston,Texas,77095,Central,Office_Supplies,Paper,29.472,3,0.2,9.9468
First_Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,1097.544,7,0.2,123.4737
First_Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5,0.6,-147.963
Standard_Class,Home_Office,United States,Houston,Texas,77041,Central,Office_Supplies,Envelopes,113.328,9,0.2,35.415
Standard_Class,Home_Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764
Standard_Class,Home_Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.058,3,0.3,-15.147
Standard_Class,Home_Office,United States,Houston,Texas,77041,Central,Technology,Phones,371.168,4,0.2,41.7564
Standard_Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,147.168,4,0.2,16.5564
Standard_Class,Corporate,United States,Los_Angeles,California,90049,West,Office_Supplies,Storage,77.88,2,0.0,3.894
Standard_Class,Corporate,United States,Melbourne,Florida,32935,South,Office_Supplies,Storage,95.616,2,0.2,9.5616
First_Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2,0.0,19.7714
First_Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office_Supplies,Binders,17.46,2,0.0,8.2062
Second_Class,Consumer,United States,Westland,Michigan,48185,Central,Office_Supplies,Storage,211.96,4,0.0,8.4784
Standard_Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,45.0,3,0.0,4.95
Standard_Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,21.8,2,0.0,6.104
Standard_Class,Consumer,United States,New_Albany,Indiana,47150,Central,Office_Supplies,Binders,38.22,6,0.0,17.9634
Standard_Class,Consumer,United States,New_Albany,Indiana,47150,Central,Office_Supplies,Labels,75.18,6,0.0,35.3346
Standard_Class,Consumer,United States,New_Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2,0.0,2.9568
Standard_Class,Consumer,United States,New_Albany,Indiana,47150,Central,Furniture,Chairs,89.99,1,0.0,17.0981
Standard_Class,Corporate,United States,New_York_City,New_York,10024,East,Office_Supplies,Fasteners,15.26,7,0.0,6.2566
Standard_Class,Corporate,United States,New_York_City,New_York,10024,East,Technology,Phones,1029.95,5,0.0,298.6855
First_Class,Consumer,United States,Troy,New_York,12180,East,Office_Supplies,Storage,208.56,6,0.0,52.14
First_Class,Consumer,United States,Troy,New_York,12180,East,Office_Supplies,Paper,32.4,5,0.0,15.552
First_Class,Consumer,United States,Troy,New_York,12180,East,Furniture,Chairs,319.41,5,0.1,7.098
First_Class,Consumer,United States,Troy,New_York,12180,East,Office_Supplies,Paper,14.56,2,0.0,6.9888
First_Class,Consumer,United States,Troy,New_York,12180,East,Technology,Accessories,30.0,2,0.0,3.3
First_Class,Consumer,United States,Troy,New_York,12180,East,Office_Supplies,Binders,48.48,4,0.2,16.362
First_Class,Consumer,United States,Troy,New_York,12180,East,Office_Supplies,Art,1.68,1,0.0,0.84
Standard_Class,Consumer,United States,Los_Angeles,California,90004,West,Technology,Accessories,13.98,2,0.0,6.1512
Standard_Class,Consumer,United States,Los_Angeles,California,90004,West,Office_Supplies,Binders,25.824,6,0.2,9.3612
Standard_Class,Consumer,United States,Los_Angeles,California,90004,West,Office_Supplies,Paper,146.73,3,0.0,68.9631
Standard_Class,Consumer,United States,Los_Angeles,California,90004,West,Furniture,Furnishings,79.76,4,0.0,22.3328
Standard_Class,Home_Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,213.115,5,0.3,-15.2225
Standard_Class,Corporate,United States,Gilbert,Arizona,85234,West,Office_Supplies,Art,1113.024,8,0.2,111.3024
Standard_Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,167.968,4,0.2,62.988
First_Class,Consumer,United States,Springfield,Virginia,22153,South,Office_Supplies,Paper,75.88,2,0.0,35.6636
Standard_Class,Consumer,United States,New_York_City,New_York,10009,East,Office_Supplies,Binders,4.616,1,0.2,1.731
Second_Class,Consumer,United States,Jackson,Michigan,49201,Central,Office_Supplies,Paper,19.05,3,0.0,8.763
Standard_Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,831.936,8,0.2,-114.3912
Standard_Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2,0.2,1.213
Standard_Class,Consumer,United States,Memphis,Tennessee,38109,South,Office_Supplies,Storage,72.784,1,0.2,-18.196
First_Class,Corporate,United States,Houston,Texas,77041,Central,Office_Supplies,Binders,1.248,3,0.8,-1.9344
First_Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248
First_Class,Corporate,United States,Houston,Texas,77041,Central,Office_Supplies,Storage,27.24,3,0.2,2.724
Second_Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,19.3,5,0.6,-14.475
First_Class,Corporate,United States,Decatur,Alabama,35601,South,Office_Supplies,Appliances,208.16,1,0.0,56.2032
First_Class,Corporate,United States,Decatur,Alabama,35601,South,Office_Supplies,Binders,16.74,3,0.0,8.0352
Standard_Class,Consumer,United States,San_Francisco,California,94122,West,Office_Supplies,Art,14.9,5,0.0,4.172
Standard_Class,Consumer,United States,San_Francisco,California,94122,West,Office_Supplies,Storage,21.39,1,0.0,6.2031
Standard_Class,Corporate,United States,Durham,North_Carolina,27707,South,Office_Supplies,Envelopes,200.984,7,0.2,62.8075
First_Class,Home_Office,United States,Chicago,Illinois,60623,Central,Office_Supplies,Storage,230.376,3,0.2,-48.9549
Second_Class,Consumer,United States,Columbia,South_Carolina,29203,South,Furniture,Chairs,301.96,2,0.0,33.2156
Standard_Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,19.99,1,0.0,6.7966
Standard_Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office_Supplies,Labels,6.16,2,0.0,2.9568
Second_Class,Home_Office,United States,Houston,Texas,77095,Central,Office_Supplies,Storage,158.368,7,0.2,13.8572
Standard_Class,Corporate,United States,Los_Angeles,California,90036,West,Office_Supplies,Art,20.1,3,0.0,6.633
Standard_Class,Corporate,United States,Los_Angeles,California,90036,West,Technology,Phones,73.584,2,0.2,8.2782
Standard_Class,Corporate,United States,Los_Angeles,California,90036,West,Office_Supplies,Paper,6.48,1,0.0,3.1104
Second_Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office_Supplies,Paper,12.96,2,0.0,6.2208
Second_Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3,0.0,16.5354
Second_Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office_Supplies,Binders,32.96,2,0.0,16.1504
Standard_Class,Home_Office,United States,Portland,Oregon,97206,West,Office_Supplies,Binders,5.682,1,0.7,-3.788
Second_Class,Home_Office,United States,New_York_City,New_York,10009,East,Furniture,Furnishings,96.53,7,0.0,40.5426
First_Class,Consumer,United States,San_Francisco,California,94122,West,Office_Supplies,Binders,51.312,3,0.2,17.9592
Standard_Class,Corporate,United States,Saint_Paul,Minnesota,55106,Central,Office_Supplies,Appliances,77.88,6,0.0,22.5852
Standard_Class,Home_Office,United States,Chicago,Illinois,60610,Central,Office_Supplies,Paper,64.624,7,0.2,22.6184
Standard_Class,Home_Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,95.976,3,0.2,-10.7973
Standard_Class,Home_Office,United States,Chicago,Illinois,60610,Central,Office_Supplies,Binders,1.788,3,0.8,-3.0396
Second_Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office_Supplies,Paper,23.92,4,0.0,11.7208
Standard_Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,238.896,6,0.2,-26.8758
Standard_Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,102.36,3,0.2,-3.8385
Standard_Class,Consumer,United States,Aurora,Colorado,80013,West,Office_Supplies,Binders,36.882,3,0.7,-25.8174
Standard_Class,Consumer,United States,Charlotte,North_Carolina,28205,South,Technology,Accessories,74.112,8,0.2,17.6016
Standard_Class,Consumer,United States,Charlotte,North_Carolina,28205,South,Technology,Phones,27.992,1,0.2,2.0994
Standard_Class,Consumer,United States,Charlotte,North_Carolina,28205,South,Office_Supplies,Art,3.304,1,0.2,1.0738
Standard_Class,Home_Office,United States,Orland_Park,Illinois,60462,Central,Technology,Accessories,339.96,5,0.2,67.992
Standard_Class,Corporate,United States,New_York_City,New_York,10035,East,Furniture,Furnishings,41.96,2,0.0,10.9096
Standard_Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office_Supplies,Art,75.96,2,0.0,22.788
Standard_Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office_Supplies,Binders,27.24,6,0.0,13.3476
Second_Class,Consumer,United States,Columbus,Ohio,43229,East,Office_Supplies,Envelopes,4.72,2,0.2,1.652
Second_Class,Consumer,United States,Columbus,Ohio,43229,East,Office_Supplies,Paper,23.976,3,0.2,7.4925
Second_Class,Consumer,United States,Columbus,Ohio,43229,East,Office_Supplies,Envelopes,130.464,6,0.2,44.0316
Standard_Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,787.53,3,0.0,165.3813
Standard_Class,Corporate,United States,Bristol,Tennessee,37620,South,Office_Supplies,Binders,157.794,1,0.7,-115.7156
First_Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04,3,0.0,18.3456
First_Class,Consumer,United States,Wilmington,Delaware,19805,East,Office_Supplies,Binders,30.84,4,0.0,13.878
First_Class,Consumer,United States,Wilmington,Delaware,19805,East,Office_Supplies,Storage,226.56,6,0.0,63.4368
First_Class,Consumer,United States,Wilmington,Delaware,19805,East,Office_Supplies,Envelopes,115.02,9,0.0,51.759
First_Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,68.04,7,0.0,19.7316
Second_Class,Home_Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,600.558,3,0.3,-8.5794
Standard_Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,617.7,6,0.5,-407.682
Standard_Class,Consumer,United States,Phoenix,Arizona,85023,West,Office_Supplies,Binders,2.388,2,0.7,-1.8308
Standard_Class,Consumer,United States,Phoenix,Arizona,85023,West,Office_Supplies,Storage,243.992,7,0.2,30.499
Second_Class,Home_Office,United States,Los_Angeles,California,90004,West,Furniture,Chairs,81.424,2,0.2,-9.1602
Second_Class,Home_Office,United States,Los_Angeles,California,90004,West,Furniture,Furnishings,238.56,3,0.0,26.2416
First_Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,59.97,5,0.4,-11.994
First_Class,Corporate,United States,Columbus,Ohio,43229,East,Office_Supplies,Paper,78.304,2,0.2,29.364
First_Class,Corporate,United States,Columbus,Ohio,43229,East,Office_Supplies,Fasteners,21.456,9,0.2,6.9732
Standard_Class,Consumer,United States,Roseville,California,95661,West,Office_Supplies,Paper,20.04,3,0.0,9.6192
Standard_Class,Consumer,United States,Roseville,California,95661,West,Office_Supplies,Paper,35.44,1,0.0,16.6568
Standard_Class,Consumer,United States,Roseville,California,95661,West,Office_Supplies,Art,11.52,4,0.0,3.456
Standard_Class,Consumer,United States,Roseville,California,95661,West,Office_Supplies,Fasteners,4.02,2,0.0,1.9698
Standard_Class,Consumer,United States,Roseville,California,95661,West,Office_Supplies,Binders,76.176,3,0.2,26.6616
Standard_Class,Consumer,United States,Roseville,California,95661,West,Office_Supplies,Supplies,65.88,6,0.0,18.4464
Second_Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,82.8,2,0.2,10.35
Standard_Class,Corporate,United States,San_Francisco,California,94122,West,Office_Supplies,Art,8.82,3,0.0,2.3814
Standard_Class,Corporate,United States,San_Francisco,California,94122,West,Office_Supplies,Envelopes,10.86,3,0.0,5.1042
Standard_Class,Corporate,United States,San_Francisco,California,94122,West,Office_Supplies,Paper,143.7,3,0.0,68.976
Standard_Class,Consumer,United States,Independence,Missouri,64055,Central,Office_Supplies,Appliances,839.43,3,0.0,218.2518
Standard_Class,Consumer,United States,Pasadena,California,91104,West,Office_Supplies,Storage,671.93,7,0.0,20.1579
Standard_Class,Home_Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,93.888,4,0.2,12.9096
Standard_Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,384.45,11,0.0,103.8015
Standard_Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,149.97,3,0.0,5.9988
Standard_Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,1951.84,8,0.0,585.552
Standard_Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office_Supplies,Binders,171.55,5,0.0,80.6285
First_Class,Home_Office,United States,Scottsdale,Arizona,85254,West,Office_Supplies,Appliances,157.92,5,0.2,17.766
First_Class,Home_Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,203.184,2,0.2,15.2388
First_Class,Corporate,United States,San_Jose,California,95123,West,Office_Supplies,Paper,58.38,7,0.0,26.271
First_Class,Corporate,United States,San_Jose,California,95123,West,Office_Supplies,Paper,105.52,4,0.0,48.5392
First_Class,Corporate,United States,San_Jose,California,95123,West,Office_Supplies,Storage,80.88,6,0.0,21.0288
Standard_Class,Home_Office,United States,Seattle,Washington,98105,West,Office_Supplies,Art,6.63,3,0.0,1.7901
Second_Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,457.568,2,0.2,51.4764
Standard_Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Office_Supplies,Labels,14.62,2,0.0,6.8714
Standard_Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones,944.93,7,0.0,236.2325
First_Class,Consumer,United States,Los_Angeles,California,90045,West,Office_Supplies,Paper,5.98,1,0.0,2.691
Second_Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,54.384,2,0.2,1.3596
Standard_Class,Consumer,United States,Carlsbad,New_Mexico,88220,West,Office_Supplies,Envelopes,28.4,5,0.0,13.348
Standard_Class,Consumer,United States,Seattle,Washington,98115,West,Office_Supplies,Binders,27.68,2,0.2,9.688
Standard_Class,Consumer,United States,San_Antonio,Texas,78207,Central,Office_Supplies,Art,9.936,3,0.2,2.7324
Standard_Class,Consumer,United States,San_Antonio,Texas,78207,Central,Office_Supplies,Storage,275.928,3,0.2,-58.6347
Standard_Class,Consumer,United States,San_Antonio,Texas,78207,Central,Furniture,Chairs,1740.06,9,0.3,-24.858
Standard_Class,Consumer,United States,San_Antonio,Texas,78207,Central,Office_Supplies,Art,32.064,6,0.2,6.8136
Standard_Class,Consumer,United States,San_Antonio,Texas,78207,Central,Office_Supplies,Appliances,177.98,5,0.8,-453.849
Standard_Class,Consumer,United States,San_Antonio,Texas,78207,Central,Technology,Phones,143.976,3,0.2,8.9985
Standard_Class,Consumer,United States,Los_Angeles,California,90004,West,Office_Supplies,Paper,20.94,3,0.0,9.8418
Standard_Class,Consumer,United States,Los_Angeles,California,90004,West,Office_Supplies,Paper,110.96,2,0.0,53.2608
Standard_Class,Consumer,United States,Los_Angeles,California,90004,West,Furniture,Chairs,340.144,7,0.2,21.259
Standard_Class,Corporate,United States,Chicago,Illinois,60623,Central,Office_Supplies,Appliances,52.448,2,0.8,-131.12
Standard_Class,Corporate,United States,Chicago,Illinois,60623,Central,Office_Supplies,Labels,20.16,4,0.2,6.552
Second_Class,Consumer,United States,Houston,Texas,77036,Central,Office_Supplies,Appliances,97.264,4,0.8,-243.16
Second_Class,Consumer,United States,Newark,Ohio,43055,East,Furniture,Chairs,396.802,7,0.3,-11.3372
Second_Class,Consumer,United States,Newark,Ohio,43055,East,Office_Supplies,Supplies,15.88,5,0.2,-3.7715
Standard_Class,Home_Office,United States,New_York_City,New_York,10009,East,Office_Supplies,Art,3.28,1,0.0,1.4104
Second_Class,Corporate,United States,Decatur,Illinois,62521,Central,Office_Supplies,Storage,24.816,2,0.2,1.8612
Second_Class,Corporate,United States,Decatur,Illinois,62521,Central,Technology,Accessories,408.744,7,0.2,76.6395
Second_Class,Home_Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,503.96,4,0.0,131.0296
Second_Class,Home_Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,149.95,5,0.0,41.986
Second_Class,Home_Office,United States,Monroe,Louisiana,71203,South,Technology,Accessories,29.0,2,0.0,7.25
Standard_Class,Consumer,United States,Fairfield,Connecticut,6824,East,Office_Supplies,Binders,7.16,2,0.0,3.4368
Standard_Class,Home_Office,United States,Los_Angeles,California,90032,West,Technology,Accessories,176.8,8,0.0,22.984
Standard_Class,Corporate,United States,Grand_Prairie,Texas,75051,Central,Office_Supplies,Storage,37.224,3,0.2,3.7224
Standard_Class,Corporate,United States,Grand_Prairie,Texas,75051,Central,Office_Supplies,Paper,20.016,3,0.2,6.255
First_Class,Home_Office,United States,New_York_City,New_York,10035,East,Furniture,Bookcases,899.136,4,0.2,112.392
First_Class,Home_Office,United States,New_York_City,New_York,10035,East,Technology,Phones,71.76,6,0.0,20.0928
First_Class,Home_Office,United States,New_York_City,New_York,10035,East,Office_Supplies,Paper,51.84,8,0.0,24.8832
First_Class,Home_Office,United States,New_York_City,New_York,10035,East,Furniture,Bookcases,626.352,3,0.2,46.9764
First_Class,Home_Office,United States,New_York_City,New_York,10035,East,Office_Supplies,Art,19.9,5,0.0,6.567
Standard_Class,Corporate,United States,Redlands,California,92374,West,Office_Supplies,Envelopes,14.28,7,0.0,6.7116
Standard_Class,Consumer,United States,Hamilton,Ohio,45011,East,Office_Supplies,Art,7.408,2,0.2,1.2038
Standard_Class,Consumer,United States,Hamilton,Ohio,45011,East,Office_Supplies,Art,6.048,3,0.2,1.5876
Standard_Class,Home_Office,United States,Westfield,New_Jersey,7090,East,Office_Supplies,Storage,46.26,3,0.0,12.0276
Standard_Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office_Supplies,Binders,2.946,2,0.7,-2.2586
Standard_Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office_Supplies,Paper,16.056,3,0.2,5.8203
Standard_Class,Consumer,United States,Akron,Ohio,44312,East,Office_Supplies,Paper,21.744,3,0.2,6.795
First_Class,Consumer,United States,Denver,Colorado,80219,West,Furniture,Tables,218.75,2,0.5,-161.875
First_Class,Consumer,United States,Denver,Colorado,80219,West,Office_Supplies,Appliances,2.6,1,0.2,0.2925
Second_Class,Consumer,United States,Dallas,Texas,75220,Central,Office_Supplies,Appliances,66.284,2,0.8,-178.9668
Standard_Class,Corporate,United States,Franklin,Tennessee,37064,South,Furniture,Furnishings,35.168,7,0.2,9.6712
Standard_Class,Consumer,United States,Whittier,California,90604,West,Technology,Phones,444.768,4,0.2,44.4768
Standard_Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office_Supplies,Storage,83.92,4,0.0,5.8744
Standard_Class,Consumer,United States,Saginaw,Michigan,48601,Central,Technology,Phones,131.98,2,0.0,35.6346
Standard_Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office_Supplies,Binders,15.92,4,0.0,7.4824
Standard_Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office_Supplies,Fasteners,52.29,9,0.0,16.2099
Standard_Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office_Supplies,Storage,91.99,1,0.0,3.6796
Second_Class,Corporate,United States,Dallas,Texas,75220,Central,Technology,Accessories,20.8,2,0.2,6.5
Standard_Class,Corporate,United States,Medina,Ohio,44256,East,Office_Supplies,Labels,23.68,2,0.2,8.88
Standard_Class,Corporate,United States,Medina,Ohio,44256,East,Furniture,Bookcases,452.45,5,0.5,-244.323
Standard_Class,Corporate,United States,Medina,Ohio,44256,East,Technology,Phones,62.982,3,0.4,-14.6958
Standard_Class,Corporate,United States,Medina,Ohio,44256,East,Technology,Accessories,89.584,2,0.2,4.4792
Standard_Class,Consumer,United States,Los_Angeles,California,90032,West,Office_Supplies,Storage,93.06,6,0.0,26.0568
Standard_Class,Consumer,United States,Los_Angeles,California,90032,West,Technology,Phones,302.376,3,0.2,22.6782
First_Class,Consumer,United States,Dublin,Ohio,43017,East,Office_Supplies,Fasteners,5.584,2,0.2,1.8148
First_Class,Consumer,United States,Dublin,Ohio,43017,East,Office_Supplies,Paper,22.704,6,0.2,8.2302
First_Class,Consumer,United States,Dublin,Ohio,43017,East,Office_Supplies,Binders,19.776,4,0.7,-13.8432
First_Class,Consumer,United States,Dublin,Ohio,43017,East,Furniture,Furnishings,72.704,4,0.2,19.0848
First_Class,Consumer,United States,Dublin,Ohio,43017,East,Technology,Machines,479.988,4,0.7,-383.9904
First_Class,Consumer,United States,Dublin,Ohio,43017,East,Office_Supplies,Art,27.168,2,0.2,2.7168
Standard_Class,Corporate,United States,Detroit,Michigan,48227,Central,Office_Supplies,Art,2.2,1,0.0,0.968
Standard_Class,Corporate,United States,Detroit,Michigan,48227,Central,Furniture,Tables,622.45,5,0.0,136.939
Standard_Class,Corporate,United States,Detroit,Michigan,48227,Central,Office_Supplies,Storage,21.98,1,0.0,0.2198
Standard_Class,Consumer,United States,Columbia,Tennessee,38401,South,Furniture,Chairs,161.568,2,0.2,-28.2744
Standard_Class,Consumer,United States,Columbia,Tennessee,38401,South,Furniture,Chairs,389.696,8,0.2,43.8408
Standard_Class,Corporate,United States,Charlotte,North_Carolina,28205,South,Office_Supplies,Binders,18.648,7,0.7,-12.432
Standard_Class,Home_Office,United States,Tampa,Florida,33614,South,Furniture,Tables,233.86,2,0.45,-102.048
Standard_Class,Home_Office,United States,Tampa,Florida,33614,South,Furniture,Tables,620.6145,3,0.45,-248.2458
Standard_Class,Home_Office,United States,Tampa,Florida,33614,South,Office_Supplies,Binders,5.328,2,0.7,-3.552
Standard_Class,Home_Office,United States,Tampa,Florida,33614,South,Furniture,Furnishings,258.072,3,0.2,0.0
Standard_Class,Home_Office,United States,Tampa,Florida,33614,South,Technology,Accessories,617.976,3,0.2,-7.7247
Standard_Class,Corporate,United States,Santa_Clara,California,95051,West,Office_Supplies,Paper,10.56,2,0.0,4.752
Second_Class,Consumer,United States,Chicago,Illinois,60610,Central,Office_Supplies,Paper,25.92,5,0.2,9.396
Second_Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,419.68,5,0.6,-356.728
Second_Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,11.688,3,0.6,-4.6752
Second_Class,Consumer,United States,Chicago,Illinois,60610,Central,Technology,Phones,31.984,2,0.2,11.1944
Second_Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Tables,177.225,5,0.5,-120.513
Second_Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,4.044,3,0.6,-2.8308
Second_Class,Consumer,United States,Chicago,Illinois,60610,Central,Office_Supplies,Art,7.408,2,0.2,1.2038
Second_Class,Home_Office,United States,Lakeville,Minnesota,55044,Central,Furniture,Chairs,2001.86,7,0.0,580.5394
Second_Class,Home_Office,United States,Lakeville,Minnesota,55044,Central,Office_Supplies,Storage,166.72,2,0.0,41.68
Second_Class,Home_Office,United States,Lakeville,Minnesota,55044,Central,Office_Supplies,Paper,47.88,6,0.0,23.94
Second_Class,Home_Office,United States,Lakeville,Minnesota,55044,Central,Office_Supplies,Appliances,1503.25,5,0.0,496.0725
Second_Class,Home_Office,United States,Lakeville,Minnesota,55044,Central,Office_Supplies,Paper,25.92,4,0.0,12.4416
Second_Class,Consumer,United States,San_Francisco,California,94109,West,Furniture,Chairs,321.568,2,0.2,28.1372
Standard_Class,Consumer,United States,San_Diego,California,92037,West,Office_Supplies,Paper,7.61,1,0.0,3.5767
First_Class,Consumer,United States,New_York_City,New_York,10024,East,Office_Supplies,Storage,80.58,6,0.0,22.5624
